FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,DATE_CREATED,DATE_EDITED
1518775,Dilly Lake,Lake,WA,53,Stevens,065,484723N,1180252W,48.7898306,-118.0477915,666,2185,09/10/1979,06/26/2019
1518776,Lake Dilly,Lake,WA,53,Jefferson,031,473741N,1235305W,47.6281941,-123.8847596,723,2372,09/10/1979,04/09/2019
1518788,Dirtyface Lake,Lake,WA,53,Chelan,007,475204N,1204809W,47.8676472,-120.8024499,1483,4865,09/10/1979,09/30/2019
1518811,Divide Lake,Lake,WA,53,Kittitas,037,472403N,1212539W,47.4009438,-121.4274742,1180,3871,09/10/1979,03/19/2019
1518817,Dixie Lake,Lake,WA,53,Skagit,057,482524N,1220506W,48.4233249,-122.0851183,1056,3465,09/10/1979,05/14/2019
1518832,Doe Lake,Lake,WA,53,Stevens,065,481539N,1174938W,48.2609003,-117.827172,886,2907,09/10/1979,05/03/2019
1518834,Doelle Lakes,Lake,WA,53,Chelan,007,474134N,1210024W,47.6926705,-121.0065878,1764,5787,09/10/1979,05/04/2019
1518838,Dog Lake,Lake,WA,53,Yakima,077,463927N,1212135W,46.6573861,-121.3597636,1284,4213,09/10/1979,03/19/2019
1518858,Domke Lake,Lake,WA,53,Chelan,007,481039N,1203517W,48.1774887,-120.5881785,669,2195,09/10/1979,05/04/2019
1518860,Don Lake,Lake,WA,53,Mason,045,472541N,1230353W,47.4279961,-123.064825,142,466,09/10/1979,05/17/2019
1518862,Lake Donald,Lake,WA,53,Chelan,007,474406N,1205325W,47.7351099,-120.8903753,1791,5876,09/10/1979,05/04/2019
1518873,Lake Doreen,Lake,WA,53,Whatcom,073,484226N,1215454W,48.7071143,-121.9149273,1033,3389,09/10/1979,04/21/2019
1518874,Lake Doris,Lake,WA,53,Okanogan,047,484920N,1203530W,48.8222495,-120.5916383,2131,6991,09/10/1979,05/04/2019
1518876,Lake Dorothy,Lake,WA,53,King,033,473511N,1212303W,47.5864756,-121.384297,933,3061,09/10/1979,04/22/2020
1518884,Dot Lakes,Lake,WA,53,Okanogan,047,485050N,1203143W,48.8471339,-120.5286735,2156,7073,09/10/1979,05/04/2019
1518890,Doubtful Lake,Lake,WA,53,Chelan,007,482827N,1210252W,48.4740347,-121.0476972,1643,5390,09/10/1979,05/04/2019
1518902,Douglass Lake,Lake,WA,53,Stevens,065,483621N,1175227W,48.6058312,-117.8742839,767,2516,09/10/1979,05/03/2019
1518905,Dow Lake,Lake,WA,53,Snohomish,061,474804N,1210547W,47.8010701,-121.0964636,1448,4751,09/10/1979,05/21/2019
1518910,Downey Lake,Lake,WA,53,Snohomish,061,481721N,1210921W,48.2892344,-121.1558947,1650,5413,09/10/1979,05/14/2019
